actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
76,3.0594285,11400,0.9844682,0.004272461,5.638861,-0.016141206,19,2850,1,0,-3.6946707,-3.6932662,8.060233,0.0
148,71.38701,22200,0.99493456,0.5202637,1.3129982,-29.355608,37,5550,174,10.015630722045898,-164.0737,-1.2884178,3.9497218,2835.515913340164
222,118.28074,33300,0.9931371,0.6176758,1.0979578,-30.789501,58,8700,365,20.041382312774658,-261.61304,-0.9634377,12.03203,1864.445852086459
315,140.88544,47250,0.99625945,0.6937256,0.74628973,-27.38206,79,11850,568,30.107800006866455,-320.74335,-0.7038902,3.068277,798.7866711897493
406,161.435,60900,0.99649835,0.7609253,0.5994196,-16.907845,102,15300,768,40.148521900177,-358.7099,-0.53234464,3.0803552,1528.5973725720207
482,168.45534,72300,0.9964185,0.7944336,0.5286156,-25.246387,121,18150,967,50.17202043533325,-373.2547,-0.47064143,6.2446685,1866.9874530532759
575,166.79694,86250,0.9969318,0.79901123,0.44285914,-24.89307,145,21750,1168,60.3083074092865,-371.07413,-0.41475368,2.424079,381.4076345335762
658,172.14879,98700,0.997108,0.8421631,0.3533968,-14.771297,166,24900,1369,70.31979846954346,-385.51215,-0.34534848,2.6242247,1653.7219600547062
742,167.36227,111300,0.9973769,0.8682251,0.3053066,-15.423315,187,28050,1573,80.32492184638977,-397.93927,-0.28402734,2.1578424,981.1380868141347
832,171.25826,124800,0.9973283,0.8596802,0.31623298,-26.038685,211,31650,1780,90.32564282417297,-391.51065,-0.29954982,1.9010758,1993.5497133351157
913,198.70789,136950,0.9973595,0.8843994,0.283069,-22.025316,232,34800,1986,100.35019755363464,-429.86945,-0.25379676,2.7547123,2374.946526524401
1008,152.88712,151200,0.99737453,0.8903198,0.3162592,-30.761654,256,38400,2183,110.41825342178345,-380.38025,-0.28842372,2.3478928,323.8809617173559
1088,76.77693,163200,0.9972391,0.8713379,0.35334855,-28.587902,276,41400,2370,120.50256133079529,-289.23517,-0.33259767,2.4388843,662.1855552101989
1167,69.20881,175050,0.9972439,0.86932373,0.34429085,-27.722824,296,44400,2548,130.68243789672852,-304.53906,-0.3184557,2.44412,236.92449779346867
1239,76.460556,185850,0.99733925,0.8670654,0.3623575,-28.19874,314,47100,2727,140.70110821723938,-312.68658,-0.33713555,1.6664343,1860.9817808713015
1319,89.02509,197850,0.9972329,0.8607788,0.3708532,-28.981993,335,50250,2913,150.7399594783783,-325.85852,-0.34447062,2.7164187,1596.6516142846947
1394,78.817276,209100,0.99718285,0.87597656,0.37822083,-24.16539,354,53100,3094,160.76693034172058,-328.78357,-0.35809058,2.0665505,2009.2474251497006
1471,87.32449,220650,0.9971044,0.84680176,0.46108928,-24.02722,374,56100,3272,170.79143023490906,-348.016,-0.43026346,2.4564004,1624.0468515560717
1544,101.25003,231600,0.99742985,0.8859253,0.3267609,-26.307652,392,58800,3451,180.80585932731628,-353.4958,-0.30684704,2.3963618,802.3345209344587
1625,118.00743,243750,0.9974024,0.87475586,0.39129686,-28.440735,411,61650,3630,190.81401872634888,-385.23242,-0.38152575,1.7787447,2022.722146032703
1703,126.76711,255450,0.9972706,0.87194824,0.4006433,-25.617205,432,64800,3809,201.0399568080902,-411.0633,-0.38070923,2.288894,265.29620599446747
1776,123.629814,266400,0.9972651,0.86468506,0.43365613,-26.629026,450,67500,3997,211.17153477668762,-400.31863,-0.41061687,2.455264,368.9433807187948
1855,137.34557,278250,0.99716973,0.8465576,0.45984882,-21.137718,470,70500,4177,221.24214673042297,-421.9331,-0.43842113,2.500664,778.9746866666086
1934,152.52704,290100,0.99720836,0.8604126,0.43249696,-24.403614,490,73500,4355,231.2648265361786,-457.26166,-0.4133138,1.6973754,2172.0011975175785
2006,147.73512,300900,0.9970043,0.82806396,0.56772137,-24.513779,509,76350,4536,241.2686641216278,-438.76608,-0.5496731,2.5775824,1902.9473072315207
2084,160.96921,312600,0.9970486,0.83428955,0.54443383,-24.210794,529,79350,4720,251.2777178287506,-475.62082,-0.5145718,2.348907,1798.1528897939497
2167,135.0431,325050,0.9972999,0.8746338,0.49107552,-26.577572,548,82200,4905,261.30932688713074,-458.53357,-0.46757454,2.6360345,1626.5266729683221
2249,146.41852,337350,0.99700475,0.8166504,0.56992304,-24.413612,570,85500,5092,271.31118273735046,-468.87738,-0.53247917,2.189104,1796.0474511404466
2329,169.15866,349350,0.9968474,0.84625244,0.5372145,-21.430523,592,88800,5279,281.3328175544739,-498.99973,-0.49687266,4.3425827,1526.8844976849482
2400,174.28232,360000,0.99699926,0.82507324,0.60125875,-18.629301,610,91500,5465,291.33570528030396,-522.64526,-0.57150066,2.3981714,2092.7213165875373
2485,164.48749,372750,0.9971268,0.8424072,0.5091578,-21.549334,630,94500,5653,301.36074566841125,-495.88803,-0.49446037,2.4962318,1400.1505119471726
2568,164.38551,385200,0.9969437,0.8234253,0.583399,-22.757318,651,97650,5842,311.3629562854767,-488.54852,-0.5704854,2.4549453,1889.5389120396442
2645,188.48412,396750,0.9968879,0.8140259,0.63540196,-24.190268,671,100650,6031,321.4122486114502,-509.73703,-0.5870446,2.5593586,339.6339371456551
2727,173.2857,409050,0.9970393,0.83618164,0.53820044,-23.978882,694,104100,6223,331.42718744277954,-536.97736,-0.504794,3.4766316,492.9898825538792
2815,189.6957,422250,0.9970598,0.8187866,0.61056435,-25.721012,714,107100,6418,341.5050551891327,-552.0697,-0.5786112,3.2401094,455.4848746054909
2889,89.484436,433350,0.9964347,0.751709,0.84672296,-21.057026,735,110250,6612,351.5328938961029,-303.62747,-0.7949027,4.5779347,2156.125398597579
2978,32.56298,446700,0.9958029,0.6727905,1.2298603,-9.575933,756,113400,6813,361.5492262840271,-110.13295,-1.1924791,4.0904274,1967.1798148867408
3074,31.460163,461100,0.9962902,0.7034302,1.1229134,-0.89773697,780,117000,7027,371.576447725296,-113.56653,-1.0772176,4.419006,2316.6150818993046
3158,47.13588,473700,0.9961519,0.708313,1.1203351,-8.726002,804,120600,7236,381.64914631843567,-170.42256,-1.0677891,4.656789,270.9638193988103
3251,55.63759,487650,0.9961777,0.80181885,0.79040825,-4.8894796,828,124200,7446,391.6688914299011,-201.51523,-0.72608995,8.188699,1755.8572475143903
3338,66.5453,500700,0.99681854,0.8255615,0.63202536,1.5232247,848,127200,7651,401.7577450275421,-236.52641,-0.5909455,4.416051,299.8772899767749
3420,57.32488,513000,0.9969907,0.82263184,0.6270207,6.486698,868,130200,7851,411.7597200870514,-207.17128,-0.5988501,2.9362378,2245.4762307081014
3508,62.505043,526200,0.9967482,0.8069458,0.7459719,9.232339,892,133800,8054,421.8121449947357,-218.31625,-0.6693189,4.30097,741.6532372590084
3601,72.9675,540150,0.99696493,0.8383179,0.56822896,10.662875,916,137400,8261,431.82863211631775,-266.68713,-0.5190754,3.3770366,2012.712424083377
3679,77.43934,551850,0.9971168,0.83740234,0.5995831,2.75396,937,140550,8461,441.85618019104004,-270.66986,-0.58045435,2.7805867,713.0725702552006
3772,58.695328,565800,0.9969115,0.81622314,0.6053327,10.687824,961,144150,8668,451.8857567310333,-228.62929,-0.5520191,3.7104764,933.2276093199185
3868,67.73895,580200,0.99722886,0.8607788,0.50365835,3.1117938,985,147750,8876,462.01392364501953,-265.60327,-0.48804194,2.5151234,415.73619416218696
3946,61.548206,591900,0.99710226,0.8463745,0.57515347,8.756313,1004,150600,9081,472.0189299583435,-238.01321,-0.5493926,3.0579014,2686.8533336002483
4036,71.6021,605400,0.99711466,0.85791016,0.532633,7.291781,1028,154200,9284,482.0229663848877,-264.07513,-0.4824226,2.5750747,470.31890558421173
4117,72.50249,617550,0.99697924,0.8354492,0.5691941,7.8844647,1048,157200,9481,492.1360402107239,-256.21707,-0.51994056,3.4325879,392.34682151892997
4201,68.155205,630150,0.99692225,0.8378296,0.6207813,6.482422,1070,160500,9676,502.1534593105316,-257.6435,-0.5329,6.9478583,1823.1893176847739
4285,74.821,642750,0.9972341,0.85302734,0.5167016,4.443701,1090,163500,9863,512.2639760971069,-271.87616,-0.5316951,3.407586,313.7522642931864
4368,80.72807,655200,0.9972186,0.8539429,0.5099134,1.6025429,1111,166650,10053,522.2947399616241,-291.24713,-0.49011093,2.2547593,1891.3228774748115
4443,77.72693,666450,0.99723625,0.8564453,0.49435616,-1.509229,1130,169500,10247,532.422105550766,-292.95264,-0.477803,2.2284174,401.78272173336467
4532,74.43736,679800,0.9971814,0.8497925,0.54654133,2.4724102,1154,173100,10445,542.4668622016907,-288.3227,-0.50438267,4.888213,1426.0731642530043
4608,85.45696,691200,0.99718857,0.85736084,0.51026314,2.6881483,1173,175950,10636,552.5860288143158,-313.71912,-0.46651703,2.597465,331.1928598131302
4694,74.4388,704100,0.9971802,0.8343506,0.58468896,1.782089,1194,179100,10827,562.5911269187927,-295.8909,-0.57583094,2.27641,1767.103925428058
4771,78.38585,715650,0.9971447,0.8625488,0.5038481,-3.8766274,1215,182250,11014,572.651204586029,-308.3776,-0.46941036,2.9012904,896.4941688820016
4858,78.50502,728700,0.997278,0.85723877,0.50816065,-4.1426444,1235,185250,11202,582.6561834812164,-290.93826,-0.4929465,2.379798,1316.9446210604813
4931,82.393196,739650,0.9973004,0.8642578,0.50006175,-2.6089795,1255,188250,11391,592.7640318870544,-295.77542,-0.48440617,3.8969352,303.8838058343871
5012,73.7876,751800,0.9973719,0.8753052,0.45160848,-0.8504267,1275,191250,11579,602.7707991600037,-322.8133,-0.44961405,3.0147715,325.4307459914507
5094,81.29596,764100,0.9973457,0.8848877,0.4182786,-4.536029,1296,194400,11768,612.8243725299835,-329.3504,-0.39802969,3.0249314,823.7855248944319
5177,73.84291,776550,0.9972937,0.8594971,0.5143748,-5.9258966,1315,197250,11958,623.0392405986786,-323.316,-0.4791186,2.7388933,281.1157438582124
5250,68.41351,787500,0.99732685,0.88427734,0.42438382,-5.046649,1335,200250,12145,633.0560953617096,-312.69574,-0.41931713,2.4998837,2608.1952584531673
5331,69.44361,799650,0.9970038,0.8508301,0.62066996,-12.166467,1357,203550,12330,643.0709490776062,-292.22543,-0.4924641,14.365583,2506.4235520406355
5412,70.82181,811800,0.99728155,0.85614014,0.5102812,-9.4718275,1376,206400,12516,653.305748462677,-282.84808,-0.48259783,2.8354301,272.5578941490037
5496,74.34708,824400,0.9973333,0.8744507,0.4624459,-12.721854,1398,209700,12702,663.3093223571777,-290.50693,-0.45695654,2.6452732,2243.0182826966143
5570,69.616035,835500,0.99727106,0.85717773,0.48332474,-5.621097,1416,212400,12885,673.317759513855,-304.0816,-0.4412007,2.8525147,1512.8834884153455
5651,69.57022,847650,0.9973819,0.8675537,0.46891525,-8.135231,1438,215700,13074,683.3346226215363,-310.7356,-0.4549243,2.3337545,1700.7238906206442
5733,74.110115,859950,0.9973476,0.87371826,0.46231782,-7.252949,1459,218850,13259,693.3425080776215,-291.99356,-0.42992318,3.1333284,1516.3960185739625
5813,71.10016,871950,0.99726367,0.869812,0.4595661,-13.791729,1479,221850,13446,703.358959197998,-303.24957,-0.4293821,2.5443783,2554.217193967363
5892,79.31108,883800,0.997381,0.87939453,0.42588803,-10.23204,1499,224850,13630,713.3747525215149,-310.98816,-0.38214433,2.1489005,2378.1235858500845
5963,78.40582,894450,0.99734807,0.8758545,0.47663853,-10.894473,1517,227550,13810,723.4300222396851,-300.3824,-0.4692847,3.094066,333.3819215115954
6043,79.36928,906450,0.99742174,0.8776245,0.43501395,-10.049641,1538,230700,13994,733.4470369815826,-307.17944,-0.41624448,2.29711,1974.5450907700003
6120,75.966774,918000,0.9972048,0.8635864,0.5481103,-5.189,1559,233850,14180,743.4686944484711,-285.87482,-0.43003953,11.377105,1685.908794583697
6204,80.77512,930600,0.99743056,0.88165283,0.4311551,-6.349779,1578,236700,14361,753.5216090679169,-318.00037,-0.39285997,2.756416,242.62391120631605
6281,81.784485,942150,0.9973662,0.87750244,0.4406013,-5.70775,1598,239700,14548,763.5653958320618,-308.1437,-0.405733,2.8802133,275.96005892675583
6361,86.17384,954150,0.9974749,0.8843384,0.42523304,-7.677354,1618,242700,14733,773.748682975769,-312.6158,-0.42388177,2.1749957,289.6340626817392
6439,77.39471,965850,0.99739957,0.87872314,0.48450214,-6.19081,1638,245700,14923,783.9720890522003,-290.55902,-0.3662519,7.4304895,282.63355251035784
6517,80.35236,977550,0.99745464,0.88287354,0.4164675,-2.4194925,1657,248550,15109,793.989128112793,-305.88437,-0.4157694,2.242548,1817.830918005255
6600,75.72722,990000,0.9974508,0.90563965,0.3603297,1.3968176,1679,251850,15291,804.0303168296814,-297.80557,-0.32457358,3.3467937,327.06316334549706
6679,60.67225,1001850,0.9972725,0.87750244,0.6054559,0.13350636,1699,254850,15476,814.1356847286224,-290.51312,-0.44567195,13.895935,311.8988763131079
6757,60.87423,1013550,0.99745417,0.88409424,0.41316426,-7.266515,1719,257850,15663,824.1731872558594,-281.31873,-0.38719153,2.4154093,1587.558215593156
6840,73.07825,1026000,0.99734306,0.86376953,0.52127177,4.189868,1741,261150,15847,834.3539793491364,-293.10004,-0.48113263,2.9697273,311.5730573652804
6912,68.59074,1036800,0.9973874,0.8652954,0.5120894,1.4412535,1760,264000,16033,844.3807337284088,-265.17288,-0.4997674,2.563527,1227.7172049797389
7000,66.96485,1050000,0.9973638,0.864624,0.50649244,2.458407,1780,267000,16226,854.4070191383362,-283.4892,-0.5246325,2.251961,994.8612640926241
7073,69.729675,1060950,0.99730444,0.8560791,0.5313497,-6.8379974,1800,270000,16409,864.468389749527,-291.03168,-0.51840675,3.3430932,508.4390029547693
7154,75.92345,1073100,0.99742246,0.87561035,0.4466297,-1.8919755,1821,273150,16597,874.5067226886749,-304.01862,-0.41298172,2.731291,1174.474120354571
7240,64.74111,1086000,0.9973166,0.8618164,0.5225901,-1.0019515,1842,276300,16788,884.5150709152222,-309.8355,-0.5181198,2.9280553,2100.318887071913
7314,61.34117,1097100,0.99731064,0.8674927,0.4992642,-1.2420163,1860,279000,16979,894.5193107128143,-262.6502,-0.48043722,2.2773826,2088.5855358879594
7396,36.921486,1109400,0.9968307,0.8132324,0.7451679,3.9842372,1882,282300,17172,904.527646780014,-161.02782,-0.5763726,4.9092007,2236.9621333333334
7482,34.730705,1122300,0.9972284,0.8405762,0.59993327,-5.824574,1903,285450,17357,914.5343682765961,-210.49602,-0.56934774,2.9889526,1404.957820195433
7563,28.982178,1134450,0.99728703,0.84906006,0.5994125,-5.5293036,1926,288900,17553,924.5987846851349,-225.39859,-0.61095005,4.409604,404.98997616245737
7650,33.7214,1147500,0.997318,0.8511963,0.5506999,7.6637144,1946,291900,17747,934.6419358253479,-216.20898,-0.5125543,3.1073713,296.05567405531673
7726,32.044155,1158900,0.9973259,0.8508911,0.5482924,3.0930214,1967,295050,17942,944.6935486793518,-206.66881,-0.4794977,2.8849068,437.20624972515344
7810,32.017097,1171500,0.99727035,0.8562622,0.55575156,2.6728601,1989,298350,18134,954.8664917945862,-212.88481,-0.5210153,3.0618026,226.38166584441268
7895,37.006622,1184250,0.9972446,0.8701172,0.57209826,-3.0552616,2010,301500,18329,964.8904943466187,-225.01712,-0.33239287,13.746887,2213.6268173009526
7971,37.513,1195650,0.9974406,0.87945557,0.46191663,1.3007457,2030,304500,18523,974.9143288135529,-230.1507,-0.41668022,2.9375777,694.175170740916
8062,32.535873,1209300,0.9973953,0.86053467,0.5229521,-2.0044742,2051,307650,18718,984.9867630004883,-224.52278,-0.47487777,3.008504,467.70158865119714
8143,37.68293,1221450,0.99736404,0.86206055,0.49644536,-2.0251703,2073,310950,18912,995.0199418067932,-229.53256,-0.44415593,3.0474393,398.4045973736078
8221,37.867188,1233150,0.997494,0.8996582,0.39474133,-3.8403091,2093,313950,19105,1005.025007724762,-218.03876,-0.38878748,2.6428866,2868.0840224800736
8306,30.239254,1245900,0.9973295,0.8602905,0.51838195,1.7494955,2113,316950,19299,1015.2191307544708,-201.91928,-0.5098988,2.7317095,302.1319277725441
8392,34.0158,1258800,0.99741507,0.8679199,0.4829589,-9.244852,2133,319950,19489,1025.2324693202972,-209.6047,-0.45704508,2.6962636,2498.2359795253606
8470,32.090103,1270500,0.9973173,0.8625488,0.52359223,0.2909484,2155,323250,19677,1035.2383728027344,-207.88516,-0.4541837,2.7424421,1756.9260211929025
8549,31.479843,1282350,0.9973948,0.85931396,0.52540755,-3.152782,2177,326550,19871,1045.4980492591858,-193.65742,-0.47623983,3.1238449,216.40673287537055
8634,31.91481,1295100,0.9974575,0.86157227,0.5105642,-6.10691,2196,329400,20063,1055.5705771446228,-178.25342,-0.47441024,3.0593326,307.70367602303116
8720,25.98117,1308000,0.99737954,0.8699951,0.5290445,-10.205239,2221,333150,20260,1065.7376508712769,-163.32132,-0.43367827,8.2437105,368.0338919379141
